Title,Likes,Singer,Lyrics
빙빙 (feat.황세현),46,유명한아이,"하나둘씩 떠나가는 사람들 속 머리에
빙빙 남아돌아 나의 현위치는 어디에?
꽃다발은 괜찮으니 내게 줘 돈다발
사랑보다 필요해 그 남자 말고 내 집

하나둘씩 떠나가는 사람들 속 머리에
빙빙 남아돌아 나의 현위치는 어디에?
꽃다발은 괜찮으니 내게 줘 돈다발
사랑보다 필요해 그 남자 말고 내 집

사랑보다 더 큰 욕심이 생겼어
내가 성공하면 너는 그냥 쉬어
밀린 빨래 손에 물 묻히지 마
돈에 밀린 니 시간을 내가 살 거니까

정신 못 차리던 어릴 때
그 애 품이 내 집이던 때
멍청했지 제대로
버려질 때 새되고
날 수 없어 아래로
던져졌다 세계로

Yeah I'm on fleek lil bitch
모두 내게 말했지 이건 미친 짓이야
이제 와서 바뀌어
자신 있음 come and talk to me like Jodeci

사랑을 하려면 I need that guap
너에게 입힐래 Louis Vuitton bra
하지만 어머니 걱정마
난 될 수 없기에 퐁퐁남

Uh huh um
18년도 Gunna drip too hard
총알을 챙겨서 right to the mall
Mr.Musk 보내 trip to mars

Uh huh um
하나둘씩 떠나가도
유지해 balance
난 믿어 karma huh
언젠간 돌아와

요즘엔 모두가 다 walking on a tightrope
위기 to the 기회 갈게 돈다발을 가지고
빙 돌아왔어 결국 목적지는 네게로
날수없어 아래로
던져졌다 세계로

하나둘씩 떠나가는 사람들 속 머리에
빙빙 남아돌아 나의 현위치는 어디에?
꽃다발은 괜찮으니 내게 줘 돈다발
사랑보다 필요해 그 남자 말고 내 집

하나둘씩 떠나가는 사람들 속 머리에
빙빙 남아돌아 나의 현위치는 어디에?
꽃다발은 괜찮으니 내게 줘 돈다발
사랑보다 필요해 그 남자 말고 내 집


멍청했지 제대로
버려질 때 새되고
날 수 없어 아래로
던져졌다 세계로"
So sad I know,7,M3CHVNIC (메카닉),"Sad 날 닮아서
I don’t know So sad I know
전쟁 같은 패턴
getting old
계속
일이 많아
fine all day
수천 번의 의심이
눈 가
아름다운 색은
웃게 해
one love still
lose time
커져버린 옷 매일이
문제를 줘 heavy
무거운 노래지 이걸
만들어 코미디처럼
다가온 ladies 원해
Stackin money
맞아 나는 foolish
가끔 들어맞는 가사를 적어
네가 무슨 hiphop
덕분에 마르지 않아 우기지
rookie 하나 숨지
멋쟁이들아
어떻게 알아 추위를
마을 따라 굽이진
바닷가에서 to be
with fam 난 살아왔어
""Who's that""
너에게 묻지
I’m so fast
늦게
걸어 버린 채
후회를
적막한
이곳을 다시
번지게 할
시도해
I’m so fast
늦게
걸어 버린 채
후회를
적막한
이곳을 다시
번지게 할
시도해
walking on the street finally I’m shine
숨이 가빠 아직
내 머린 clean
미쳐버린 삶
살아 버티지
8년 전 날 미워해 봤자
시간만 흐르겠지 먼지 쌓인
Outfit 내 옷
이제 하나씩 갈아 비싼
20 only maserati
꿈에 그리던 cielo
Riding
지난 일기 속
에피소드 빼곡
이게 내 LP
두 번째 줄게 배로
만들지 못해 7번
버려 나도 괴로워
아직 못 잊겠네
눈 감아
몇 장의 사진
달이 모이겠네
어두워 일식같이
가시 보이게
다 내려놔
이미 간
시간이 우리
어지럽게 하지 다
아직 못 잊겠네
눈 감아
몇 장의 사진
달이 모이겠네
어두워 일식같이
가시 보이게
다 내려놔
이미 간
시간이 우리
어지럽게 하지 다
I’m so fast
늦게
걸어 버린 채
후회를
적막한
이곳을 다시
번지게 할
시도해
I’m so fast
늦게
걸어 버린 채
후회를
적막한
이곳을 다시
번지게 할
시도해
I’m so fast
know So sad I know
sad I know
I’m so fast
sad I know
I’m so fast
sad I know
I’m so fast
sad I know"
지나요,1,OHSHYTTTT,"Ugh ugh
하루가 지나요

Skiing down the road
하루가 지나요
ugh
내 시간이 지나요
Smoke a dank
이렇게 지나요
너무 빨리 지나요
skoot skoot skoot ugh
skoot skoot skoot skoot
skoot skoot skoot
skoot skoot skoot

(Two puff is what I need baby)

나 진짜 몰랐어,
시간이 이렇게 흘렀어
여유있던 나도
예전과는 다른 놈
나 진짜 몰랐어
나대로 난 살았어,
세상은 정사각형,
난 할래 마름모

하루가 짧아져 버린 탓에 서둘러
가끔 그때 향기 그때 모습 떠올려
난 어울려, 행복한 life
I got big dreams, I get blue cheese

Think about that good
난 괜찮아, ugh
Imma find my love
Smoke till I'm dumb
Gotta get it done
지금을 느껴 더
지금을 느껴 더

다시 하나 더
Pack a biggie thou
도파민 in my smoke
Dope 하게 놀아줘
행복하게 살죠
내일은 모르죠
내일은 모르니깐 그래서 우린 더 지금을 더

skiing down the road
하루가 지나요
ugh
내 시간이 지나요
smoke a dank
이렇게 지나요
너무 빨리 지나요

skoot skoot skoot ugh
skoot skoot skoot skoot
skoot skoot skoot
skoot skoot skoot"
한번만 참아주라,2,스몰키드(Small Kidd),"갑자기 나에게 내일 뭐하냐고
물어본 카톡에 난 놀라서 너무
일단은 내폰은 좀 덮어놓고
실화인지 볼을 꼬집어도 봤지

내가 좋아하던 네가 어떻게?
뭐하자고 연락한건지
모르는데도
좋아서 난 웃고있어

내일 보자던 친구한테도 말해서 내일
약속은 없던걸로해
한달전에 보자고 해서 빼놨는데
라면서 화를내는 네게

저번에 내가 좋아한다던 걔가 내일 뭐하냐고 물어봐서
내일 볼것같아서 그러는데 제발 한번만 봐주면은 안될까?

내가 정말 미안해서 담에 밥살테니까
이번 한번만 참아주라
나도 이럴줄 몰랐단 말야 야 정말
한번만 참아주라"
"I Don't Wanna Love You, I Don't Know Love Her",1,대환,"I don't wanna love you, i don't know love her
나는 너를 봤지만 넌 안봤고
곁에 있지만 멀리 있는거 같어
어떻게 넌 내 눈을 한번도 안봐

I don't wanna love you, i don't know love her
나는 너를 봤지만 넌 안봤고
곁에 있지만 멀리 있는거 같어
어떻게 넌 내 눈을 한번도 안봐

너무 많아 겁이 나서 아무것도
못해서 넌 far 남자도 아니야 넌
내가 붙잡아도 안잡힐껄 알아서
쳐다만 봤었고 버즈처럼 겁쟁이었어

하루종일 전화기만 붙잡고 기다렸고
연락 오면 좋아서 바로 답장을 보냈고
너가 기분 좋다면 뭐든 할 수 있으니 다 해줄게
너가 기분 좋다면 뭐든 할 수 있으니 다 해줄게

I Don't Wanna wake up
I Don't Wanna wake up
너랑 같이 꿈 속에서
같이 있으면 좋겠어

i love you my love
i love you my love
i love you my love
나는 평생 너만을 보겠어

I don't wanna love you, i don't know love her
나는 너를 봤지만 넌 안봤고
곁에 있지만 멀리 있는거 같어
어떻게 넌 내 눈을 한번도 안봐

I don't wanna love you, i don't know love her
나는 너를 봤지만 넌 안봤고
곁에 있지만 멀리 있는거 같어
어떻게 넌 내 눈을 한번도 안봐

I don't wanna love you, i don't know love her
나는 너를 봤지만 넌 안봤고
곁에 있지만 멀리 있는거 같어
어떻게 넌 내 눈을 한번도 안봐

I don't wanna love you, i don't know love her
나는 너를 봤지만 넌 안봤고
곁에 있지만 멀리 있는거 같어
어떻게 넌 내 눈을 한번도 안봐"
그해의 너,0,A9904,"네가 떠났어
그날은 어둡고 보이는 건 지나갈 차뿐
새벽 공기처럼 서로 바라보는 시선도 차갑고 매서워져 갈 뿐
당겨진 활시위를 놓아 관통하는 말들
거칠어지고 이젠 낯설어져 서로가 사랑했던 그들의 탑은 허물어져
서둘러서 되돌리려 해도 늦어버렸어
서로의 뺨은 아프고도 붉어져 버렸어
넌 울다 지쳐 등지고 도망치듯 서둘러 떠나가려 하고
그런 널 잡고 난 해명하려 해
무슨 변명이 필요할까 어차피 넌 듣지도 않으려 하고
날 뿌리치며 욕설을 해
지나가는 차 사이로 넌 뛰어들고
그런 널 말리며 잡으러 난 따라들어
지나가는 차 사이로 넌 뛰어들고
그런 널 말리며 잡고서 난 눈물을 흘려

지금 부는 이 바람을 따라
스치듯 네게 내 말이 닿을까?
꼭 네게 닿기를 꼭 네게 닿기를
하염없이 바라본다
보고 싶네
보고 싶네
보고 싶다
네가

'네가 떠났고'
떠나간 이후 나에게 남겨진 거라고는 미칠 공허함뿐
잘 살 거라고 후회 없다 다짐을 해봐도
금세 무너지고 다시 슬퍼지내
너는 상관 없단 듯이 하루 또 하루를 보내
우린 그렇게 끝을 맞이했어도 너 역시 아직은 미련이 남았나?
술 취해 나에게 울면서 전화해 나를 부를 땐
무시했다가도 너의 문자 그리고 전화 부름에
금세 너희 집 앞에 달려갔네 네가 만난 그 남잔 거기에 없기에
AUDI, BENZ 그런 건 없어도 아직 나는 여전히 너를 사랑하기에

지금 부는 이 바람을 따라
스치듯 네게 내 말이 닿을까?
꼭 네게 닿기를 꼭 네게 닿기를
하염없이 바라본다
보고 싶네
보고 싶네
보고 싶다
네가"
"Break (feat.Connor, WonMor)",6,Raffin,"Late nights, starry skies I'm lost in abyss
Your absence is a void every moment's like a miss.
I wanna see your smile light up my darkest days
I'm reaching out to you hope you'll hear my heart says.

I messed up I know but can we mend what's been torn?
I wanna hold you close again like how we were before.
I fucked up you know can’t escape from your ghost
The time think about you every moment my heart too sore

Baby I’m so sorry 미안해
still miss you 널 많이 그리워해
turn this page rewrite our story 다시 한번 너를 붙잡을께

지울 용기가 안 나
사진 속 널 마주하기가
다잃고 옆을 보니 내겐 너조차 없어
못 잊은 줄 알았는데 네 얼굴이 흐려져
아마 다신 널 기억하기가
이젠 내게 아픈 일이 됐나 봐
모습이 흐려질수록 눈물이 멎어가

너와 나의 사진 따윈 신경 안 쓰려 노력했지
밤을 새며 훔친 눈물, 진정 한 뒤 들어간 album 속엔 blur
뿌연 네 얼굴은 아무리 생각해도 기억이 안 나
그게 더 고통인가 봐
bitch I'm all alone
let this pain gone
혼자인 게 아직은 두려워 방구석
한켠에 불을 끈 채 기대어
남기고 간 고통 속에 허우적 (drowning, drowning)
연기만 가득 찬 이 공간
차가운 공기가 머릿속을 clear like
eraser, erase all this memory
put myself in agony

지울 용기가 안 나
사진 속 널 마주하기가
다잃고 옆을 보니 내겐 너조차 없어
못 잊은 줄 알았는데 네 얼굴이 흐려져
아마 다신 널 기억하기가
이젠 내게 아픈 일이 됐나 봐
모습이 흐려질수록 눈물이 멎어가

다 잃고 옆을 보니 내겐 너조차 없어
못 잊은 줄 알았는데 네 얼굴이 흐려져
이젠 내게 아픈 일이 됐나 봐
모습이 흐려질수록 눈물이 멎어가

지울 용기가 안 나
사진 속 널 마주하기가
다잃고 옆을 보니 내겐 너조차 없어
못 잊은 줄 알았는데 네 얼굴이 흐려져
아마 다신 널 기억하기가
이젠 내게 아픈 일이 됐나 봐
모습이 흐려질수록 눈물이 멎어가"
모르겠어,1,Lil Liputian,"[가사 준비중] 멜론 회원 여러분! 가사 등록을 기다리고 있어요.
가사등록하기"
BOTM(Back on the mic),0,뱅기타(BangGuitar),"난 다시 그대로인데 시간만 빨라
또 놓쳐버린 박자 얼마나 숨 차야
따라 잡아 맞춰 걸을 수 있을까
이상과 현실 어쩜 불가능한 것인 걸까
열심히도 지겨워지네 나이만 쳐먹히네
멈추기엔 살자란 말에 떠밀리는 매일
열일 시켜 간땡이 따라 처음처럼
오늘 밤도 주정뱅이
다 내려놓자 펼친게 또 메모장
말라 비틀어진 낭만이나 좀 챙겨봐
날 애워싼 독한 현실로 부터 잠시 떼어 날
외워 봐 주문을 어쩜 한탕 챙겨갈
날이 올지도 그 날이 올지도
밤이 거치고 낮이 올지도
이상 가득찬 개버릇 못버려 빽도
해볼께 다시 GOKIM아 Track 줘

내가 어릴 적 꿈꿨던 추억
다시 꺼내 봐 먼지 쌓인 기억
말 없이 웃음 지어 웃게 만드는 거
그거 하나로 다시 쥐어 Back on the mic

흘러가는 시간속에
경직된 내 삶은 꾸준해 마치 허수아비
한번씩 요동쳐 꿈이란 새가 지저귈때
현실에 놓인 벽 막막해 눈 앞이
살기 위한 내 기술은 음악이야 하필
담아냈던 많은 가사들
그 대부분은 내 스스로의 한스러운 사정
인생의 성공을 위해 신이 요구하는 댓가는
완전 철저하게 계산적
난 무엇을 위해 만들어진건지 바비
물음을 던지면 낮보다 너무 짧아 밤이
창밖에 해가 걸칠때 정답에 근접한것 같은대
빌어먹을 아 젠장 꿈
나아가고 싶은 현실 삼십삼년째
수원에서 쓰고 있는 일기장
그래 있어봐 곧 열릴꺼야
화려한 2막 인생 극장"
GENRE,1,The Mind,"caper thriller sober cult
horror cryer drama punk
shooting that dreaming cut
whatever whenver romance
결말만 정했어 전개구조는 무채색
그것보단 짙은 감정전개 다 부채돼
빚이든 빛이든 지긋지긋하게
문장끼리의 연결새 삐끗삐끗하네
인물 관계 정리했지 unbalanced
극적인 반전 칼집내는 accident
stance? huh huh no past tense
내가 뭘 할 수 있는데 none and then
what you say? i’m not that kind
but I’m that kind to you 대가
바란 거 아니란 말 it’s fake and lie
통했다면 그게 뭔지 얘기할때만
그니까 다음을 논한다는 것 자체가 노답이지만
낮아지는 차원에서 마주하고 say hi
그 자체로 실존성 검증 없이 get high
what’s happening now? 잠깐만
별 떨어지는 것 같아 up side down
no music no movie
이런 거 내게
어울리지 않아
what I fits is tragedy
but there’s a flower with too good looking within
like in every second every minute daydreamin
I don’t care how it ends
I don’t care how it ends
I don’t care how it ends
what I do care is a flower named with
no meaning of this no meaning of that
과대해석 직업삼지 주인공은 못 돼
인칭은 숫자 하나 줄이는 게 불가능 해
뭘 원하는 지 bgm에 박자 맞춰 방백
bounce back in time cut cut then rollin
fanmade shit frowned upon hectic
카메라 빨간 불 안 꺼뜨려 다 타게 하지
scene by secne burn into ash like this
so then it’s black music right? forget it whatever
불가능한 거 알고도 하는게 힙합이라고
rather be religious though 힙합 아니라도
어쨌든 내가 보여 so call it whatever you want
whatever you want 이 곡의 주제니까
whatever I want 이 곡의 목적이니까
다음 공연 첫 장을 열게 될 곡이니까
이 지점이 지나갈 땐 네게만 보낼게 peace sign
no music no movie
이런 거 내게
어울리지 않아
what I fits is tragedy
but there’s a flower with too good looking within
like in every second every minute daydreamin
I don’t care how it ends
I don’t care how it ends
I don’t care how it ends
what I do care is a flower named with
no music no movie
이런 거 내게
어울리지 않아
what I fits is tragedy
but there’s a flower with too good looking within
like in every second every minute daydreamin
I don’t care how it ends
I don’t care how it ends
I don’t care how it ends
what I do care is a flower named with
caper thriller sober cult
horror cryer drama punk
shooting that dreaming cut
whatever whenver romance none"
